source_channel,source_id,post_id,reply_id,media_id
-1001759230769,10128,1314,,
-1001469021333,14526,1315,,
-1001730870551,2247,1316,,
-1001260622817,45745,1317,,
-1001708761316,17726,1318,,
-1001260622817,45746,1319,,
-1001452778151,24249,1320,,
-1001391125365,197,1321,,
-1001452778151,24250,1322,1320,
-1001391125365,198,1323,,
-1001391125365,199,1324,1321,
-1001355310059,45820,1325,,
-1001391125365,201,1326,,
-1001391125365,200,1327,,
-1001261746950,26809,1328,,
-1001261746950,26811,1329,,
-1001261746950,26812,1330,,
-1001261746950,26813,1331,,
-1001261746950,26810,1332,,
-1001452778151,24251,1333,,
-1001452778151,24252,1334,,
-1001452778151,24253,1335,,
-1001076431027,37327,1336,,
-1001759230769,10129,1337,,
-1001708761316,17727,1338,,
-1001391125365,204,1339,,
-1001391125365,203,1340,,
-1001391125365,210,1341,,
-1001391125365,209,1342,,
-1001391125365,211,1343,,
-1001391125365,213,1344,,
-1001391125365,212,1345,,
-1001391125365,216,1346,,
-1001391125365,215,1347,,
-1001076431027,37332,1360,,
-1001452778151,24256,1362,1333,
-1001759230769,10139,1363,,
-1001260622817,45752,1364,,
-1001076431027,37333,1365,,
-1001076431027,37334,1366,,
-1001452778151,24257,1368,1362,
-1001201459971,4213,1369,,
-1001261746950,26814,1370,,
-1001260622817,45753,1371,,
-1001736828635,17334,1372,,
-1001205641526,65794,1373,,
-1001205641526,65795,1374,,
-1001602838096,2482,1379,,
-1001736828635,17335,1380,,
-1001736828635,17336,1381,,
-1001260622817,45754,1390,,
-1001641260594,3681,1391,,
-1001736828635,17338,1392,,
-1001736828635,17339,1393,,
-1001736828635,17341,1394,,
-1001736828635,17340,1395,,
-1001641260594,3682,1398,,
-1001355540894,30624,1400,,
-1001205641526,65796,1402,,
-1001658917464,4106,1403,,
-1001658917464,4107,1404,,
-1001736828635,17342,1407,,
-1001205641526,65797,1412,,
-1001736828635,17343,1414,,
-1001736828635,17344,1415,,
-1001149896996,26509,1416,,
-1001205641526,65798,1419,,
-1001261746950,26815,1420,,
-1001261746950,26816,1421,,
-1001261746950,26817,1422,,
-1001736828635,17345,1424,,
-1001355540894,30626,1425,,
-1001355540894,30625,1426,,
-1001391125365,218,1429,,
-1001391125365,217,1430,,
-1001391125365,219,1433,,
-1001391125365,220,1434,,
-1001391125365,222,1437,,
-1001391125365,221,1438,,
-1001391125365,224,1441,,
-1001391125365,226,1442,,
-1001736828635,17347,1445,,
-1001736828635,17349,1446,,
-1001736828635,17350,1447,,
-1001736828635,17352,1450,,
-1001149896996,26510,1451,,
-1001205641526,65802,1452,,
-1001101806611,68774,1453,,
-1001736828635,17354,1454,,
-1001736828635,17355,1455,,
-1001627480627,11723,1456,,
-1001736828635,17356,1457,,
-1001355540894,30629,1458,,
-1001627480627,11724,1459,,
-1001627480627,11725,1460,,
-1001355310059,45822,1461,,
-1001175084215,112656,1462,,
-1001627480627,11731,1463,,
-1001627480627,11732,1464,,
-1001355310059,45824,1465,,
-1001175084215,112659,1466,,
-1001175084215,112660,1467,,
-1001149896996,26512,1468,,
-1001205641526,65806,1469,,
-1001260622817,45756,1470,,
-1001355310059,45825,1471,,
-1001175084215,112661,1472,,
-1001736828635,17362,1473,,
-1001175084215,112662,1474,,
-1001767825089,2610,1475,,
-1001175084215,112663,1476,,
-1001355310059,45826,1477,,
-1001175084215,112664,1478,,
-1001149896996,26513,1479,,
-1001149896996,26514,1480,,
-1001260622817,45758,1481,,
-1001627480627,11736,1482,,
-1001355310059,45831,1483,,
-1001326223284,40726,1484,,
-1001175084215,112668,1485,,
-1001736828635,17364,1486,,
-1001149896996,26515,1487,,
-1001175084215,112669,1488,,
-1001736828635,17365,1489,,
-1001627480627,11737,1490,,
-1001627480627,11738,1491,,
-1001175084215,112670,1492,,
-1001260622817,45759,1495,,
-1001736828635,17369,1496,,
-1001413275904,39824,1497,,
-1001577023152,4430,1498,,
-1001099737840,23008,1501,,
-1001452778151,24261,1502,,
-1001355310059,45836,1503,,
-1001175084215,112675,1504,,
-1001260622817,45760,1505,,
-1001452778151,24263,1506,1368,
-1001355310059,45837,1514,,
-1001253415143,21041,1515,,
-1001260622817,45761,1516,,
-1001175084215,112676,1517,,
-1001175084215,112677,1518,,
-1001093357968,13430,1519,,
-1001260622817,45763,1520,,
-1001175084215,112678,1521,,
-1001736828635,17374,1522,,
-1001577023152,4432,1523,,
-1001175084215,112679,1524,,
-1001011817559,19442,1525,,
-1001175084215,112680,1526,,
-1001175084215,112681,1527,,
-1001736828635,17380,1528,,
-1001736828635,17381,1529,,
-1001011817559,19443,1530,,
-1001175084215,112682,1534,,
-1001260622817,45765,1535,,
-1001093357968,13431,1536,,
-1001149896996,26516,1537,,
-1001175084215,112683,1538,,
-1001260622817,45766,1539,,
-1001175084215,112684,1540,,
-1001355310059,45841,1541,,
-1001736828635,17385,1542,,
-1001577023152,4434,1543,,
-1001205641526,65833,1544,,
-1001627480627,11741,1545,,
-1001205641526,65835,1546,1544,
-1001175084215,112689,1547,,
-1001355310059,45842,1548,,
-1001736828635,17395,1549,,
-1001736828635,17397,1550,,
-1001627480627,11742,1551,,
-1001736828635,17398,1552,,
-1001736828635,17399,1553,,
-1001175084215,112690,1554,,
-1001736828635,17400,1555,,
-1001260622817,45768,1556,,
-1001736828635,17401,1557,,
-1001260622817,45769,1558,,
-1001175084215,112692,1559,,
-1001355540894,30649,1560,,
-1001205641526,65838,1561,,
-1001175084215,112694,1562,,
-1001175084215,112695,1571,,
-1001708761316,17737,1572,,
-1001260622817,45770,1573,,
-1001175084215,112696,1574,,
-1001205641526,65840,1575,,
-1001175084215,112697,1576,,
-1001205641526,65841,1577,1575,
-1001413275904,39832,1578,,
-1001175084215,112698,1579,,
-1001355540894,30650,1580,,
-1001082968817,21300,1581,,
-1001175084215,112699,1582,,
-1001101806611,68794,1583,,
-1001355310059,45845,1584,,
-1001736828635,17402,1585,,
-1001736828635,17403,1586,,
-1001736828635,17404,1587,,
-1001736828635,17405,1588,,
-1001175084215,112700,1589,,
-1001736828635,17407,1590,,
-1001175084215,112701,1591,,
-1001260622817,45772,1592,,
-1001355310059,45846,1595,,
-1001627480627,11748,1596,,
-1001627480627,11749,1597,,
-1001577023152,4435,1600,,
-1001736828635,17409,1601,,
-1001135021433,8959,1602,,
-1001736828635,17410,1603,,
-1001175084215,112704,1604,,
-1001175084215,112705,1605,,
-1001326223284,40733,1606,,
-1001355310059,45848,1607,,
-1001175084215,112707,1608,,
-1001736828635,17412,1609,,
-1001736828635,17413,1610,,
-1001355310059,45849,1611,,
-1001175084215,112709,1612,1574,
-1001736828635,17416,1613,,
-1001175084215,112711,1614,,
-1001175084215,112713,1617,,
-1001175084215,112714,1618,,
-1001355310059,45850,1619,,
-1001736828635,17418,1622,,
-1001736828635,17419,1623,,
-1001101806611,68802,1624,,
-1001355310059,45851,1625,,
-1001736828635,17420,1626,,
-1001093357968,13432,1627,,
-1001736828635,17421,1628,,
-1001452778151,24268,1629,,
-1001730870551,2250,1634,,
-1001260622817,45776,1635,,
-1001101806611,68803,1636,,
-1001452778151,24274,1637,,
-1001175084215,112715,1638,1617,
-1001175084215,112716,1639,,
-1001175084215,112717,1640,,
-1001205641526,65857,1641,,
-1001355310059,45852,1642,,
-1001260622817,45777,1643,,
-1001101806611,68804,1644,,
-1001093357968,13433,1645,,
-1001736828635,17425,1646,1486,
-1001355540894,30657,1647,,
-1001093357968,13434,1648,,
-1001355540894,30658,1649,,
-1001175084215,112720,1650,,
-1001082968817,21304,1651,,
-1001175084215,112721,1652,,
-1001759230769,10157,1653,,
-1001175084215,112722,1658,,
-1001736828635,17427,1659,,
-1001260622817,45778,1660,,
-1001736828635,17428,1665,,
-1001736828635,17429,1667,,
-1001149896996,26518,1668,,
-1001326223284,40734,1669,,
-1001093357968,13435,1670,,
-1001175084215,112725,1671,,
-1001260622817,45780,1676,,
-1001736828635,17431,1677,,
-1001452778151,24282,1678,,
-1001355310059,45854,1679,,
-1001175084215,112730,1695,,
-1001387701698,26308,1698,,
-1001135021433,8960,1699,,
-1001175084215,112733,1702,,
-1001101806611,68812,1703,,
-1001850958866,611,1704,,
-1001175084215,112734,1705,,
-1001850958866,612,1706,,
-1001205641526,65869,1707,,
-1001205641526,65870,1708,,
-1001205641526,65872,1709,,
-1001175084215,112735,1710,,
-1001205641526,65873,1715,,
-1001475054987,2221,1716,,
-1001355310059,45857,1717,,
-1001387701698,26310,1718,,
-1001452778151,24283,1719,,
-1001260622817,45783,1720,,
-1001175084215,112737,1721,,
-1001101170442,183853,1722,,
-1001082968817,21307,1725,,
-1001260622817,45784,1726,1720,
-1001253415143,21065,1727,,
-1001093357968,13437,1728,,
-1001175084215,112738,1729,1721,
-1001355540894,30661,1730,,
-1001175084215,112739,1731,,
-1001850958866,613,1741,,
-1001736828635,17440,1742,,
-1001413275904,39846,1743,,
-1001355310059,45858,1744,1611,
-1001321593888,7610,1745,,
-1001260622817,45785,1746,,
-1001708761316,17754,1747,,
-1001393134139,4467,1748,,
-1001175084215,112740,1749,,
-1001321593888,7611,1750,,
-1001321593888,7612,1751,,
-1001321593888,7613,1752,,
-1001321593888,7614,1753,,
-1001205641526,65875,1754,,
-1001321593888,7615,1755,,
-1001321593888,7616,1756,,
-1001260622817,45786,1757,,
-1001076431027,37410,1758,,
-1001321593888,7617,1759,,
-1001321593888,7618,1760,,
-1001101170442,183854,1763,,
-1001175084215,112742,1764,,
-1001321593888,7619,1765,1759,
-1001076431027,37411,1766,,
-1001149896996,26519,1767,,
-1001321593888,7620,1768,,
-1001321593888,7621,1769,,
-1001321593888,7622,1770,,
-1001321593888,7623,1774,,
-1001387701698,26312,1775,,
-1001175084215,112743,1776,1640,
-1001101806611,68818,1777,,
-1001101806611,68816,1778,,
-1001101806611,68817,1779,,
-1001205641526,65877,1783,,
-1001101170442,183855,1784,,
-1001101170442,183856,1785,,
-1001082968817,21309,1786,,
-1001082968817,21310,1788,,
-1001082968817,21311,1787,,
-1001082968817,21308,1789,,
-1001759230769,10161,1790,,
-1001355310059,45859,1791,,
-1001260622817,45787,1792,,
-1001205641526,65878,1793,,
-1001175084215,112744,1794,,
-1001076431027,37417,1796,,
-1001076431027,37415,1797,,
-1001076431027,37414,1795,,
-1001076431027,37412,1798,,
-1001076431027,37416,1799,,
-1001076431027,37413,1800,,
-1001413275904,39847,1807,,
-1001355540894,30662,1808,,
-1001321593888,7624,1809,,
-1001321593888,7625,1810,,
-1001736828635,17441,1811,,
-1001321593888,7626,1812,1809,
-1001850958866,615,1813,,
-1001769400021,455,1814,,
-1001261746950,26828,1815,,
-1001261746950,26829,1816,,
-1001731636769,3163,1817,,
-1001736828635,17442,1818,,
-1001260622817,45788,1819,,
-1001387701698,26313,1820,,
-1001076431027,37418,1821,,
-1001769400021,456,1822,1814,
-1001175084215,112745,1823,,
-1001076431027,37419,1824,,
-1001850958866,616,1825,,
-1001321593888,7627,1826,,
-1001101170442,183857,1827,,
-1001736828635,17443,1828,,
-1001175084215,112746,1829,,
-1001321593888,7628,1830,,
-1001011817559,19448,1831,,
-1001321593888,7629,1832,,
-1001850958866,617,1833,,
-1001355310059,45861,1834,,
-1001076431027,37420,1835,,
-1001387701698,26314,1836,,
-1001321593888,7630,1839,,
-1001175084215,112747,1840,,
-1001321593888,7631,1841,,
-1001135021433,8961,1842,,
-1001355540894,30663,1843,,
-1001321593888,7632,1844,,
-1001708761316,17755,1845,,
-1001321593888,7633,1846,,
-1001413275904,39848,1847,,
-1001736828635,17444,1848,,
-1001321593888,7634,1849,,
-1001321593888,7635,1850,1844,
-1001759230769,10162,1851,,
-1001321593888,7636,1852,,
-1001850958866,618,1853,,
-1001205641526,65879,1854,,
-1001641260594,3683,1855,,
-1001175084215,112748,1856,,
-1001253415143,21066,1857,,
-1001321593888,7637,1858,,
-1001850958866,619,1859,,
-1001321593888,7638,1860,1844,
-1001321593888,7639,1861,1844,
-1001321593888,7640,1862,1844,
-1001082968817,21312,1866,,
-1001321593888,7641,1867,1860,
-1001135021433,8962,1868,,
-1001355310059,45862,1869,,
-1001708761316,17756,1870,,
-1001149896996,26520,1871,,
-1001175084215,112749,1872,,
-1001727181613,5013,1873,,
-1001321593888,7642,1874,,
-1001205641526,65880,1877,,
-1001469021333,14528,1882,,
-1001074511071,13988,1883,,
-1001260622817,45791,1884,,
-1001387701698,26316,1885,,
-1001321593888,7643,1886,,
-1001175084215,112752,1887,,
-1001321593888,7644,1888,,
-1001321593888,7645,1889,,
-1001321593888,7646,1890,,
-1001736828635,17445,1891,,
-1001076431027,37421,1892,,
-1001708761316,17757,1893,,
-1001759230769,10163,1894,,
-1001205641526,65884,1895,,
-1001175084215,112753,1896,,
-1001387701698,26317,1897,1885,
-1001326223284,40738,1898,,
-1001498939244,32214,1899,,
-1001413275904,39849,1900,,
-1001076431027,37422,1901,,
-1001101806611,68820,1902,,
-1001355310059,45863,1903,,
-1001149896996,26521,1904,,
-1001736828635,17449,1905,,
-1001326223284,40739,1906,,
-1001076431027,37423,1907,,
-1001076431027,37424,1908,,
-1001175084215,112754,1909,,
-1001321593888,7647,1910,,
-1001736828635,17450,1911,,
-1001205641526,65885,1912,,
-1001321593888,7648,1913,,
-1001850958866,620,1914,,
-1001850958866,621,1915,1914,
-1001175084215,112755,1916,,
-1001321593888,7649,1917,,
-1001355310059,45864,1918,,
-1001321593888,7650,1919,,
-1001413275904,39850,1920,,
-1001355540894,30666,1921,,
-1001321593888,7651,1922,1917,
-1001175084215,112756,1925,,
-1001205641526,65886,1926,,
-1001708761316,17758,1927,,
-1001321593888,7654,1928,,
-1001584480250,5963,1929,,
-1001101170442,183860,1932,,
-1001321593888,7655,1933,,
-1001736828635,17451,1934,,
-1001759230769,10164,1935,,
-1001321593888,7656,1936,1874,
-1001205641526,65887,1937,,
-1001175084215,112757,1938,,
-1001387701698,26318,1939,,
-1001731636769,3166,1940,1817,
-1001175084215,112758,1941,,
-1001175084215,112759,1942,,
-1001205641526,65888,1943,,
-1001205641526,65889,1944,,
-1001321593888,7657,1945,,
-1001850958866,622,1946,,
-1001175084215,112760,1947,,
-1001101170442,183861,1948,,
-1001321593888,7658,1949,1919,
-1001205641526,65890,1950,1943,
-1001321593888,7659,1951,,
-1001594428146,12013,1952,,
-1001387701698,26319,1953,,
-1001321593888,7660,1954,,
-1001260622817,45792,1955,,
-1001321593888,7661,1956,1954,
-1001355310059,45865,1957,,
-1001175084215,112761,1958,,
-1001321593888,7662,1959,1954,
-1001321593888,7663,1960,,
-1001321593888,7664,1961,,
-1001708761316,17759,1962,,
-1001543896043,553,1963,,
-1001321593888,7665,1964,,
-1001101170442,183862,1965,,
-1001076431027,37425,1966,,
-1001413275904,39851,1967,,
-1001205641526,65891,1968,,
-1001850958866,623,1969,,
-1001260622817,45793,1970,,
-1001759230769,10165,1971,,
-1001727181613,5014,1972,,
-1001736828635,17452,1973,,
-1001076431027,37426,1974,,
-1001205641526,65892,1975,,
-1001101170442,183863,1976,1965,
-1001149896996,26522,1977,,
-1001175084215,112763,1978,,
-1001708761316,17760,1979,,
-1001205641526,65893,1980,,
-1001594428146,12014,1981,,
-1001736828635,17453,1982,,
-1001101806611,68821,1983,,
-1001296487842,52427,1987,,
-1001736828635,17454,1988,,
-1001318802260,22277,1989,,
-1001452778151,24286,1990,,
-1001321593888,7666,1991,,
-1001355310059,45866,1992,,
-1001452778151,24287,1993,,
-1001260622817,45794,1994,,
-1001011817559,19449,1995,,
-1001452778151,24288,1996,,
-1001175084215,112764,1997,,
-1001452778151,24289,1998,,
-1001413275904,39852,1999,,
-1001076431027,37430,2000,,
-1001076431027,37431,2001,,
-1001850958866,624,2002,,
-1001759230769,10166,2003,,
-1001175084215,112765,2004,,
-1001101170442,183864,2005,,
-1001673614390,4356,2006,,
-1001452778151,24290,2007,,
-1001321593888,7667,2008,,
-1001452778151,24291,2009,,
-1001452778151,24292,2010,,
-1001321593888,7668,2011,2008,
-1001413275904,39853,2012,1999,
-1001452778151,24293,2013,,
-1001205641526,65898,2014,,
-1001321593888,7669,2015,,
-1001175084215,112766,2016,,
-1001260622817,45795,2017,1994,
-1001201459971,4221,2018,,
-1001101806611,68822,2019,,
-1001355310059,45867,2020,,
-1001076431027,37432,2021,,
-1001260622817,45796,2022,,
-1001101170442,183865,2023,1763,
-1001321593888,7670,2024,,
-1001101170442,183866,2025,,
-1001498939244,32215,2026,,
-1001205641526,65899,2027,,
-1001759230769,10167,2028,,
-1001498939244,32216,2029,,
-1001296487842,52433,2030,,
-1001175084215,112767,2031,,
-1001387701698,26325,2032,,
-1001583313036,6077,2039,,
-1001321593888,7671,2049,,
-1001205641526,65900,2050,,
-1001260622817,45797,2051,,
-1001413275904,39854,2052,,
-1001101170442,183867,2053,2005,
-1001387701698,26326,2054,,
-1001321593888,7672,2055,,
-1001296487842,52434,2056,,
-1001175084215,112768,2057,,
-1001355540894,30668,2058,,
-1001321593888,7673,2059,,
-1001149896996,26523,2060,,
-1001736828635,17457,2061,,
-1001321593888,7674,2062,2059,
-1001850958866,625,2066,,
-1001205641526,65901,2067,,
-1001175084215,112769,2068,1638,
-1001355310059,45868,2069,,
-1001387701698,26327,2070,,
-1001326223284,40740,2071,,
-1001101170442,183868,2072,,
-1001391125365,230,2073,,
-1001759230769,10168,2074,,
-1001223955273,2118,2075,,
-1001175084215,112770,2076,,
-1001767825089,2617,2077,,
-1001296487842,52435,2078,,
-1001413275904,39855,2079,2012,
-1001296487842,52436,2080,,
-1001641260594,3684,2081,,
-1001175084215,112771,2082,,
-1001205641526,65902,2083,,
-1001321593888,7677,2084,,
-1001767825089,2618,2085,,
-1001205641526,65903,2086,,
-1001011817559,19450,2087,,
-1001260622817,45798,2088,,
-1001730870551,2251,2089,,
-1001543896043,555,2090,,
-1001253415143,21072,2091,,
-1001296487842,52437,2092,,
-1001149896996,26524,2093,,
-1001101806611,68823,2094,,
